"code";"libelle";"ordre";"definition"
"LEXG";"Liste Extrême gauche";1;"Liste d'extrême-gauche : Parti Anarchiste Révolutionnaire, Les Alternatifs, Nouveau Parti Anticapitaliste, Lutte Ouvrière, Solidarité écologie gauche alternative, Parti Ouvrier Indépendant"
"LFG";"Liste Front de Gauche";2;"Listes investies par le Parti de Gauche et le Parti Communiste Français"
"LPG";"Liste du Parti de Gauche";3;"Liste du Parti de Gauche"
"LCOM";"Liste du Parti communiste français";4;"Liste du Parti Communiste Français"
"LSOC";"Liste Socialiste";5;"Liste du Parti Socialiste"
"LUG";"Liste Union de la Gauche";6;"Liste d'Union des partis de gauche : Pour être nuancée LUG, une liste doit obtenir l'investiture du PS et d'au moins un autre parti de gauche (EELV, PRG, PCF, Parti de Gauche). Elle peut néanmoins être plus large en intégrant par exemple le Modem."
"LDVG";"Liste Divers gauche";7;"Liste Parti Radical de Gauche, Mouvement Républicain et Citoyen, Mouvement Unitaire Progressiste, candidats de gauche sans investiture et liste de candidats investis par plusieurs partis de gauche (autres que LFG) mais sans l'investiture du Parti Socialiste. Autres formations se rattachant à la Gauche."
"LVEC";"Liste Europe-Ecologie-Les Verts";8;"Liste Europe-Ecologie-Les Verts"
"LDIV";"Liste Divers";9;"Liste Chasse Pêche Nature Tradition, Parti blanc, Parti Pirate, Parti d'en rire, Rassemblement des Contribuables Français (et autres mouvements anti-fiscaliste), Solidarité et Progrès, parti religieux (Parti des Musulmans de France), parti socioprofessionnel, liste régionaliste, autres mouvements écologistes : Confédération des Ecologistes Indépendants, Génération Ecologie, Le Trèfle, Homme-Nature-Animaux, Mouvement Ecologiste Indépendant, Cap 21."
"LMDM";"Liste Modem";10;"Liste du Mouvement Démocrate"
"LUC";"Liste Union du Centre";11;"Liste d'union du centre : Pour être nuancée LUC, une liste doit obtenir l'investiture de « l'Alternative », c'est à dire du Modem et de l'UDI."
"LUDI";"Liste Union Démocrates et Indépendants";12;"Parti Radical, Nouveau-Centre, Parti Libéral Démocrate, Alliance Centriste, la Gauche Moderne, Force Européenne Démocrate, Nouvelle Ecologie Démocrate, Territoires en mouvement."
"LUMP";"Liste Union pour un Mouvement Populaire";13;"Liste de l'Union pour un Mouvement Populaire."
"LUD";"Liste Union de la Droite";14;"Liste d'Union des partis de Droite : Pour être nuancée LUD, une liste doit obtenir l'investiture de l'UMP et de l'UDI. Elle peut néanmoins être plus large en intégrant par exemple le PCD, Debout la République ou le Modem"
"LDVD";"Liste Divers droite";15;"Liste Alliance Royale, Parti Chrétien Démocrate, Debout la République, République Solidaire, Centre National des Indépendants et des Paysans et autres formations se rattachant à la Droite."
"LFN";"Liste Front National";16;"Liste du Front National"
"LEXD";"Liste Extrême droite";17;"Listes Mouvement National Républicain, Nissa Rebela, Bloc Identitaire, Ligue du Sud, Alsace d'Abord, Force Française, Parti de la France."
