nom,procuration,etat,date
paul le bihan,NA,présent,2020-06-08
eric robert,NA,présent,2020-06-08
françoise le men,NA,présent,2020-06-08
cédric seureau,NA,présent,2020-06-08
bernadette corvisier,NA,présent,2020-06-08
marc nedelec,NA,présent,2020-06-08
trefina kerrain,NA,présent,2020-06-08
gwénaëlle lair,NA,présent,2020-06-08
michel diverchy,NA,présent,2020-06-08
hervé latimier,NA,présent,2020-06-08
pierre gouzi,NA,présent,2020-06-08
yvon briand,NA,présent,2020-06-08
marie christine barac'h,NA,présent,2020-06-08
sonya nicolas,NA,présent,2020-06-08
christian meheust,NA,présent,2020-06-08
yves nedellec,NA,présent,2020-06-08
marie-annick guillou,NA,présent,2020-06-08
françoise barbier,NA,présent,2020-06-08
anne-claire even,NA,présent,2020-06-08
christine tanguy,NA,présent,2020-06-08
myriam dubourg,NA,présent,2020-06-08
fabrice louedec,NA,présent,2020-06-08
nolwenn henry,NA,présent,2020-06-08
carine hue,NA,présent,2020-06-08
fabien canevet,NA,présent,2020-06-08
christophe kergoat – gaël cornec – catherine bridet – louison noel – danielle marec,NA,présent,2020-06-08
jean-yves callac,NA,présent,2020-06-08
anne le guen,NA,présent,2020-06-08
patrice kervaon,paul le bihan,procuration,2020-06-08
