nom,procuration,etat,date
étaient présents,NA,présent,2020-07-06
paul le bihan,NA,présent,2020-07-06
eric robert,NA,présent,2020-07-06
françoise le men,NA,présent,2020-07-06
cédric seureau,NA,présent,2020-07-06
bernadette corvisier,NA,présent,2020-07-06
marc nedelec,NA,présent,2020-07-06
trefina kerrain,NA,présent,2020-07-06
gwénaëlle lair,NA,présent,2020-07-06
michel diverchy,NA,présent,2020-07-06
hervé latimier,NA,présent,2020-07-06
pierre gouzi,NA,présent,2020-07-06
yvon briand,NA,présent,2020-07-06
marie christine barac'h,NA,présent,2020-07-06
sonya nicolas,NA,présent,2020-07-06
christian meheust,NA,présent,2020-07-06
yves nedellec,NA,présent,2020-07-06
marie-annick guillou,NA,présent,2020-07-06
françoise barbier,NA,présent,2020-07-06
anne-claire even,NA,présent,2020-07-06
myriam dubourg,NA,présent,2020-07-06
fabrice louedec,NA,présent,2020-07-06
nolwenn henry,NA,présent,2020-07-06
carine hue,NA,présent,2020-07-06
fabien canevet,NA,présent,2020-07-06
christophe kergoat,NA,présent,2020-07-06
gaël cornec,NA,présent,2020-07-06
catherine bridet,NA,présent,2020-07-06
danielle marec,NA,présent,2020-07-06
jean-yves callac,NA,présent,2020-07-06
anne le guen,NA,présent,2020-07-06
procurations,NA,procuration,2020-07-06
patrice kervaon,paul le bihan,procuration,2020-07-06
christine tanguy,bernadette corvisier,procuration,2020-07-06
était absent,NA,absent,2020-07-06
louison noël,NA,absent,2020-07-06
